function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_crypt	c:@F@p101_crypt	XSI	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h	yes	yes	yes	crypt	c:@F@crypt
p101_endusershell	c:@F@p101_endusershell	common-Unix	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_unix/src/unistd.c	libraries/lib_unix/include/p101_unix/p101_unistd.h	yes	yes	yes	endusershell	c:@F@endusershell
p101_endutxent	c:@F@p101_endutxent	XSI	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix_xsi/src/utmpx.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_utmpx.h	yes	yes	yes	endutxent	c:@F@endutxent
p101_getegid	c:@F@p101_getegid	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	getegid	c:@F@getegid
p101_geteuid	c:@F@p101_geteuid	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	geteuid	c:@F@geteuid
p101_getgid	c:@F@p101_getgid	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	getgid	c:@F@getgid
p101_getgrgid_r	c:@F@p101_getgrgid_r	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/grp.c	libraries/lib_posix/include/p101_posix/p101_grp.h	yes	yes	yes	getgrgid_r	c:@F@getgrgid_r
p101_getgrnam_r	c:@F@p101_getgrnam_r	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/grp.c	libraries/lib_posix/include/p101_posix/p101_grp.h	yes	yes	yes	getgrnam_r	c:@F@getgrnam_r
p101_getgroups	c:@F@p101_getgroups	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	getgroups	c:@F@getgroups
p101_getlogin_r	c:@F@p101_getlogin_r	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	getlogin_r	c:@F@getlogin_r
p101_getpwnam_r	c:@F@p101_getpwnam_r	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/pwd.c	libraries/lib_posix/include/p101_posix/p101_pwd.h	yes	yes	yes	getpwnam_r	c:@F@getpwnam_r
p101_getpwuid_r	c:@F@p101_getpwuid_r	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/pwd.c	libraries/lib_posix/include/p101_posix/p101_pwd.h	yes	yes	yes	getpwuid_r	c:@F@getpwuid_r
p101_getuid	c:@F@p101_getuid	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	getuid	c:@F@getuid
p101_getusershell	c:@F@p101_getusershell	common-Unix	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_unix/src/unistd.c	libraries/lib_unix/include/p101_unix/p101_unistd.h	yes	yes	yes	getusershell	c:@F@getusershell
p101_getutxent	c:@F@p101_getutxent	XSI	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix_xsi/src/utmpx.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_utmpx.h	yes	yes	yes	getutxent	c:@F@getutxent
p101_getutxid	c:@F@p101_getutxid	XSI	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix_xsi/src/utmpx.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_utmpx.h	yes	yes	yes	getutxid	c:@F@getutxid
p101_getutxline	c:@F@p101_getutxline	XSI	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix_xsi/src/utmpx.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_utmpx.h	yes	yes	yes	getutxline	c:@F@getutxline
p101_pututxline	c:@F@p101_pututxline	XSI	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix_xsi/src/utmpx.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_utmpx.h	yes	yes	yes	pututxline	c:@F@pututxline
p101_setegid	c:@F@p101_setegid	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	setegid	c:@F@setegid
p101_seteuid	c:@F@p101_seteuid	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	seteuid	c:@F@seteuid
p101_setgid	c:@F@p101_setgid	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	setgid	c:@F@setgid
p101_setregid	c:@F@p101_setregid	XSI	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h	yes	yes	yes	setregid	c:@F@setregid
p101_setreuid	c:@F@p101_setreuid	XSI	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h	yes	yes	yes	setreuid	c:@F@setreuid
p101_setuid	c:@F@p101_setuid	POSIX	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	setuid	c:@F@setuid
p101_setusershell	c:@F@p101_setusershell	common-Unix	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_unix/src/unistd.c	libraries/lib_unix/include/p101_unix/p101_unistd.h	yes	yes	yes	setusershell	c:@F@setusershell
p101_setutxent	c:@F@p101_setutxent	XSI	libraries/lib_identity/src/identity.c	libraries/lib_identity/include/p101_identity/identity.h	libraries/lib_posix_xsi/src/utmpx.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_utmpx.h	yes	yes	yes	setutxent	c:@F@setutxent
